Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12,Armadillo Ale Works,Denton, TX,DATA,,,,,,,Helena,,5,5
Mo's Gose,1172,0.052,10,462,Gose,16,Armstrong Brewing Company,South San Francisco, CA,DATA,,,,,,,Vadnais Heights,5,,5
Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16,Asher Brewing Company,Boulder, CO,DATA,,,,,,,Mt. Airy,4,1,5
Ninja Porter,429,0.053,26,529,American Porter,12,Asheville Brewing Company,Asheville, NC,DATA,,,,,,,Raleigh,3,2,5
Rocket Girl,550,0.032,27,529,Kölsch,12,Asheville Brewing Company,Asheville, NC,DATA,,,,,,,Silverton,2,3,5
Shiva IPA,428,0.06,69,529,American IPA,12,Asheville Brewing Company,Asheville, NC,DATA,,,,,,,Framingham,5,,5
Aslan Kölsch,1640,0.048,,354,Kölsch,16,Aslan Brewing Company,Bellingham, WA,BLANK,,,,,,,Bridgewater Corners,5,,5
Aslan IPA,1639,0.077,,354,American IPA,16,Aslan Brewing Company,Bellingham, WA,BLANK,,,,,,,Bozeman,4,1,5
Aslan Amber,1638,0.077,,354,American Amber / Red Ale,16,Aslan Brewing Company,Bellingham, WA,BLANK,,,,,,,Stratford,,5,5
This Season's Blonde,597,0.056,27,524,American Blonde Ale,12,Aspen Brewing Company,Aspen, CO,DATA,,,,,,,Sacramento,5,,5
Independence Pass Ale,596,0.07,67,524,American IPA,12,Aspen Brewing Company,Aspen, CO,DATA,,,,,,,Airway Heights,,5,5
Poop Deck Porter,979,0.062,35,375,American Porter,12,Astoria Brewing Company,Astoria, OR,DATA,,,,,,,Gloucester,5,,5
Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Astoria Brewing Company,Astoria, OR,DATA,,,,,,,Newport,4,1,5
Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Astoria Brewing Company,Astoria, OR,DATA,,,,,,,Alpine,,5,5
Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria, OR,DATA,,,,,,,Belfast,,5,5
Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12,Atwater Brewery,Detroit, MI,DATA,,,,,,,Papillion,5,,5
Vanilla Java Porter,2502,0.055,12,73,American Porter,16,Atwater Brewery,Detroit, MI,DATA,,,,,,,Midvale,,5,5
Atwater's Lager,527,0.05,12,73,Munich Helles Lager,12,Atwater Brewery,Detroit, MI,DATA,,,,,,,Dayton,2,2,4
Grand Circus IPA,528,0.05,62,73,American IPA,12,Atwater Brewery,Detroit, MI,DATA,,,,,,,Slippery Rock,,4,4
Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16,Atwater Brewery,Detroit, MI,DATA,,,,,,,Valparaiso,1,3,4
Michelada,2495,0.052,,73,Fruit / Vegetable Beer,16,Atwater Brewery,Detroit, MI,BLANK,,,,,,,Belmont,3,1,4
Heavy Machinery IPA Series #1: Heavy Fist,1409,0.07,,414,American Black Ale,16,Austin Beerworks,Austin, TX,BLANK,,,,,,,Lafayette,2,2,4
Fire Eagle IPA,343,0.062,,414,American IPA,12,Austin Beerworks,Austin, TX,BLANK,,,,,,,Patchogue,3,1,4
Peacemaker,342,0.051,,414,American Pale Ale (APA),12,Austin Beerworks,Austin, TX,BLANK,,,,,,,Bellingham,,4,4
Pearl-Snap,341,0.053,,414,German Pilsener,12,Austin Beerworks,Austin, TX,BLANK,,,,,,,Pawtucket,,4,4
Black Thunder,340,0.052,,414,Schwarzbier,12,Austin Beerworks,Austin, TX,BLANK,,,,,,,Kearney,,4,4
White Rascal,108,0.056,10,38,Witbier,12,Avery Brewing Company,Boulder, CO,DATA,,,,,,,Petoskey,4,,4
Ellie’s Brown Ale,106,0.055,17,38,American Brown Ale,12,Avery Brewing Company,Boulder, CO,DATA,,,,,,,South Austin,3,1,4
Avery Joe’s Premium American Pilsner,146,0.047,42,38,German Pilsener,12,Avery Brewing Company,Boulder, CO,DATA,,,,,,,Lowell,4,,4
Avery India Pale Ale,107,0.063,69,38,American IPA,12,Avery Brewing Company,Boulder, CO,DATA,,,,,,,Springdale,,4,4
Raja,2589,0.08,,38,American Double / Imperial IPA,12,Avery Brewing Company,Boulder, CO,BLANK,,,,,,,Portage,,4,4
Perzik Saison,2546,0.064,,38,Saison / Farmhouse Ale,12,Avery Brewing Company,Boulder, CO,BLANK,,,,,,,Gig Harbor,4,,4
Devils Tramping Ground Tripel,704,0.092,5,361,Tripel,12,Aviator Brewing Company,Fuquay-Varina, NC,DATA,,,,,,,Broomfield,3,1,4
Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,DATA,,,,,,,Atlantic Highlands,4,,4
OktoberBeast,1579,0.072,22,361,Märzen / Oktoberfest,12,Aviator Brewing Company,Fuquay-Varina, NC,DATA,,,,,,,Mammoth Lakes,,4,4
Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,DATA,,,,,,,Shelburne,2,2,4
Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,DATA,,,,,,,Durham,,4,4
Hog Wild India Pale Ale,705,0.067,,361,American IPA,12,Aviator Brewing Company,Fuquay-Varina, NC,BLANK,,,,,,,Kona,4,,4
Palate Mallet,2058,0.086,,236,American Double / Imperial IPA,12,Back East Brewing Company,Bloomfield, CT,BLANK,,,,,,,Hooksett,,4,4
Back East Porter,1483,0.06,,236,American Porter,12,Back East Brewing Company,Bloomfield, CT,BLANK,,,,,,,Soldotna,1,3,4
Back East Golden Ale,1426,0.049,,236,American Blonde Ale,12,Back East Brewing Company,Bloomfield, CT,BLANK,,,,,,,Martinsville,4,,4
Misty Mountain IPA,1132,0.07,,236,American IPA,12,Back East Brewing Company,Bloomfield, CT,BLANK,,,,,,,Moab,,4,4
Back East Ale,1131,0.05,,236,American Amber / Red Ale,12,Back East Brewing Company,Bloomfield, CT,BLANK,,,,,,,East Fairfield,2,2,4
Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL,DATA,,,,,,,Mt. Pleasant,3,1,4
Truck Stop Honey Brown Ale,1876,0.06,,287,English Brown Ale,12,Back Forty Beer Company,Gadsden, AL,BLANK,,,,,,,Miami,4,,4
Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima, WA,DATA,,,,,,,St Mary's,3,1,4
Topcutter India Pale Ale,966,0.068,70,484,American IPA,12,Bale Breaker Brewing Company,Yakima, WA,DATA,,,,,,,Avon,,4,4
Ballast Point Pale Ale,1401,0.052,23,35,Kölsch,12,Ballast Point Brewing Company,San Diego, CA,DATA,,,,,,,Talkeetna,4,,4
Even Keel,2105,0.038,40,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA,DATA,,,,,,,San Luis Obispo,4,,4
Sculpin IPA,1018,0.07,70,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA,DATA,,,,,,,Nellysford,4,,4
